,created_at,user_id_str,username,tweet_url,Tweet,no_stopwords,sentiment
676,2023-10-30,598870355,jakfar87,https://twitter.com/jakfar87/status/1719131774268436482,"Tenang saja bos , semua akan disampaikan oleh yang mulia bapak Jokowi presiden Republik Indonesia , setelah bapak Prabowo Gibran terpilih jadi presiden 2024 nanti...",tenang bos mulia jokowi republik indonesia prabowo gibran,Positive
677,2023-10-30,1389461676768989184,Asep71254288,https://twitter.com/Asep71254288/status/1719096028820033761,Ya Indonesia mencetak presiden tertua di Republik ini Dan apa yang di harap dari Prabowo,indonesia cetak tua republik harap prabowo,Positive
678,2023-10-30,1478684707126530049,BeritaV02543549,https://twitter.com/BeritaV02543549/status/1719037283054280857,Sejarah baru Presiden Undang Makan 3 Bacapres 2024 Dan Serta Pk Mantap Indonesia Damai salam NKRI https://t.co/WLZYVlaOIO,sejarah baru presiden undang makan bacapres pk mantap indonesia damai salam nkri htps t co wlzyvlaoio,Positive
679,2023-10-30,1679896540285120512,daulatrakyatcom,https://twitter.com/daulatrakyatcom/status/1718994933426905323,"Momen Presiden Jokowi makan siang di Istana Negara Senin(30/10) siang, bersama tiga Cawapres di pemilu 2024, Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan. source: love_jkt #politikindonesia #politik #indonesia #opposite #saveourdemocracy #aktivis #pemilu #Pilpres2024 https://t.co/CAM0anph9c",momen presiden jokowi makan siang istana negara senin siang tiga cawapres prabowo subianto ganjar pranowo anies baswedan source love jkt politikindonesia oposite saveourdemocracy aktivis htps t co,Negative
680,2023-10-30,519296882,Ainulyausman,https://twitter.com/Ainulyausman/status/1718991876353818956,"Dengan undangan makan siang kepada tiga calon presiden Indonesia tahun 2024, Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto, semakin mempertegas bahwa Jokowi saat ini berada di puncak Piramida politik nasional. https://t.co/XvhI9pCpM1",undang makan siang tiga indonesia anies baswedan ganjar pranowo prabowo subianto makin tegas jokowi sat puncak piramida nasional htps t co,Positive
681,2023-10-30,1674289887053512704,indigo_cumicumi,https://twitter.com/indigo_cumicumi/status/1718969022853927086,"Tujuan Presiden Jokowi Undang Prabowo Anies dan Ganjar Makan Bersama di Istana Negara: Pada (30/10/2023) Presiden Republik Indonesia, Jokowi mengundang tiga bakal Calon Presiden Pilpres 2024 yakni Prabowo… https://t.co/wO3Zh4QzZz #HotNews Baca di https://t.co/QwXHoKTU1A https://t.co/WslC419Ur1",tuju presiden jokowi undang prabowo anies ganjar makan sama istana negara presiden republik indonesia jokowi undang tiga calon presiden pilpres prabowo htps t co hotnews baca htps t co htps t co,Positive
682,2023-10-30,3655312633,manaf_ramli,https://twitter.com/manaf_ramli/status/1718965561290531006,"https://t.co/2bRyqAjFRm - JAKARTA - Pasangan Calon Presiden dan Calon Wakil Presiden dari Koalisi Indonesia Maju (KIM), Prabowo Subianto-Gibran Rakabuming Raka, membidik kemenangan telak pada Pilpres 2024 mendatang. #PrabowoGibranIstimewa #BersamaIndonesiaMaju Prabowo Subianto",htps t co - jakarta - pasang calon presiden calon wakil presiden koalisi indonesia maju kim prabowo subianto-gibran rakabuming raka bidik menang telak pilpres datang prabowogibranistimewa bersamaindonesiamaju prabowo subianto,Positive
683,2023-10-30,1575331620524957696,brofahmi22,https://twitter.com/brofahmi22/status/1718941043364921826,"Insya Allah AMIN terdepan, menang dan dilantik menjadi Presiden dan Wapres RI Periode 2024-2029, AMIN. Saatnya Indonesia bangkit menuju Indonesia yang lebih baik bersama AMIN.",insya alah amin depan menang lantik presiden wapres ri periode amin sat indonesia bangkit tuju indonesia baik amin,Positive
684,2023-10-30,59380826,bangkukosong31,https://twitter.com/bangkukosong31/status/1718937262812270694,Jurubicara istana ya dan . jadi presiden indonesia,jurubicara istana,Negative
685,2023-10-30,1666474307818782720,RahmatHerus,https://twitter.com/RahmatHerus/status/1718928728791851442,Bismillah Bapak Sangat Layak Menjadi Presiden RI 2024 Prabowo Subianto Kiky Rocket Chicken Indonesia Jatinangor Gal Gadot Kalimantan Halloween #GISELLE Unilever Apel Pagi Senin #FreePalestine Olive,bismilah bapak sangat layak jadi presiden ri prabowo subianto kiky rocket chicken indonesia jatinangor gal gadot kalimantan halowen gisele unilever apel pagi senin frepalestine olive,Negative
686,2023-10-30,1604867385198260224,Media1AMIN,https://twitter.com/Media1AMIN/status/1718922193286140135,Sambutan kebangsaan oleh presiden RI ke 8 . Periode .2024-2029 Bserta kabinet Indonesia perubahan dan perbaikan. bapak Dan Bapak . #FreePalestine,sambut kebangsan ri periode bserta kabinet indonesia ubah baik bapak frepalestine,Positive
687,2023-10-30,1640278396285620224,JumilahRahu08,https://twitter.com/JumilahRahu08/status/1718915229684527590,Bapak Prabowo Subianto Presiden RI 2024-2029 amin Prabowo Subianto Kiky Rocket Chicken Indonesia Jatinangor Gal Gadot Kalimantan Halloween #GISELLE Unilever Apel Pagi Senin #FreePalestine Olive,bapak prabowo subianto presiden ri amin prabowo subianto kiky rocket chicken indonesia jatinangor gal gadot kalimantan halowen gisele unilever apel pagi senin frepalestine olive,Negative
